language,place_of_internship,company_name,person_in_charge,internship_title,cover_letter_text
english,"Berlin, Germany",Reonic GmbH,Udo Sill,Application for Internship - Founders Associate Intern - Special Projects,"**Application for Internship – Founders Associate Intern - Special Projects**

To the Recruiting Team and Mr. Udo Sill,

I am a Computer Systems Engineering student and DAAD-KOSPIE scholar currently completing my academic exchange at the University of Göttingen. As part of this program, I am required to undertake a mandatory six-month professional internship. The Founders Associate Intern position at Reonic GmbH immediately captured my interest, as it presents a unique opportunity to merge my technical expertise with a hands-on, strategic role at the intersection of technology, operations, and business.

My academic journey, spanning focused studies in Mexico and Germany, has equipped me with a robust foundation in Computer Systems Engineering, with specializations in areas like Cloud Computing and Mobile Robotics. More importantly, it has honed my ability to rapidly adapt to new technologies and collaborate effectively within intercultural teams—a skill directly applicable to supporting new digital SaaS product development.

My professional experience as a DevOps Working Student at Ford Motor Company provided me with direct exposure to fast-paced, process-driven environments. There, I was responsible for building and optimizing CI/CD pipelines, implementing monitoring tools, and creating automated feedback systems using Jenkins, GitHub Actions, and the Jira API. This hands-on role required a structured, detail-oriented approach to analyze workflows, identify bottlenecks, and implement solutions that improved cross-team alignment and efficiency—precisely the mindset needed to analyze product performance data and create effective playbooks at Reonic.

Furthermore, my project portfolio demonstrates my proactive, execution-focused attitude. From developing a real-time sign language recognition Android app to contributing to a published robotics paper, I have consistently taken projects from conception to implementation, often learning new frameworks like TensorFlow Lite or YOLOv8 on the fly. I am fluent in English and possess business-fluent German (C1), ensuring seamless communication. I am eager to invest my time and energy beyond standard hours to contribute meaningfully to your team's special projects.

I am fully available for a 4-6 month internship starting in March or April 2026 and am willing to relocate to Berlin. I am confident that my technical background, structured analytical skills, and entrepreneurial curiosity make me a strong fit for this role.

Thank you for your time and consideration. I look forward to discussing how I can contribute to Reonic GmbH.

Sincerely,

Salvador Costilla Caballero"
english,"Berlin, Germany",Reonic GmbH,Udo Sill,Application for Internship - Founders Associate Intern - Special Projects,"**Application for Internship – Founders Associate Intern - Special Projects**

To the Recruiting Team and Mr. Udo Sill,

I am a Computer Systems Engineering student and DAAD-KOSPIE scholar currently completing my academic exchange at the University of Göttingen. As part of this program, I am required to undertake a mandatory six-month professional internship. The Founders Associate Intern position at Reonic GmbH immediately captured my interest, as it presents a unique opportunity to merge my technical expertise with a hands-on, strategic role at the intersection of technology, operations, and business.

My academic journey, spanning focused studies in Mexico and Germany, has equipped me with a robust foundation in Computer Systems Engineering, with specializations in areas like Cloud Computing and Mobile Robotics. More importantly, it has honed my ability to rapidly adapt to new technologies and collaborate effectively within intercultural teams—a skill directly applicable to supporting new digital SaaS product development.

My professional experience as a DevOps Working Student at Ford Motor Company provided me with direct exposure to fast-paced, process-driven environments. There, I was responsible for building and optimizing CI/CD pipelines, implementing monitoring tools, and creating automated feedback systems using Jenkins, GitHub Actions, and the Jira API. This hands-on role required a structured, detail-oriented approach to analyze workflows, identify bottlenecks, and implement solutions that improved cross-team alignment and efficiency—precisely the mindset needed to analyze product performance data and create effective playbooks at Reonic.

Furthermore, my project portfolio demonstrates my proactive, execution-focused attitude. From developing a real-time sign language recognition Android app to contributing to a published robotics paper, I have consistently taken projects from conception to implementation, often learning new frameworks like TensorFlow Lite or YOLOv8 on the fly. I am fluent in English and possess business-fluent German (C1), ensuring seamless communication. I am eager to invest my time and energy beyond standard hours to contribute meaningfully to your team's special projects.

I am fully available for a 4-6 month internship starting in March or April 2026 and am willing to relocate to Berlin. I am confident that my technical background, structured analytical skills, and entrepreneurial curiosity make me a strong fit for this role.

Thank you for your time and consideration. I look forward to discussing how I can contribute to Reonic GmbH.

Sincerely,

Salvador Costilla Caballero"
english,"Berlin, Germany",Reonic GmbH,Udo Sill,Application for Internship - Founders Associate Intern - Special Projects,"To the Recruiting Team and Mr. Udo Sill,

I am a Computer Systems Engineering student and DAAD-KOSPIE scholar currently completing my academic exchange at the University of Göttingen. As part of this program, I am required to undertake a mandatory six-month professional internship. The Founders Associate Intern position at Reonic GmbH immediately captured my interest, as it presents a unique opportunity to merge my technical expertise with a hands-on, strategic role at the intersection of technology, operations, and business.

My academic journey, spanning focused studies in Mexico and Germany, has equipped me with a robust foundation in Computer Systems Engineering, with specializations in areas like Cloud Computing and Mobile Robotics. More importantly, it has honed my ability to rapidly adapt to new technologies and collaborate effectively within intercultural teams—a skill directly applicable to supporting new digital SaaS product development.

My professional experience as a DevOps Working Student at Ford Motor Company provided me with direct exposure to fast-paced, process-driven environments. There, I was responsible for building and optimizing CI/CD pipelines, implementing monitoring tools, and creating automated feedback systems using Jenkins, GitHub Actions, and the Jira API. This hands-on role required a structured, detail-oriented approach to analyze workflows, identify bottlenecks, and implement solutions that improved cross-team alignment and efficiency—precisely the mindset needed to analyze product performance data and create effective playbooks at Reonic.

Furthermore, my project portfolio demonstrates my proactive, execution-focused attitude. From developing a real-time sign language recognition Android app to contributing to a published robotics paper, I have consistently taken projects from conception to implementation, often learning new frameworks like TensorFlow Lite or YOLOv8 on the fly. I am fluent in English and possess business-fluent German (C1), ensuring seamless communication. I am eager to invest my time and energy beyond standard hours to contribute meaningfully to your team's special projects.

I am fully available for a 4-6 month internship starting in March or April 2026 and am willing to relocate to Berlin. I am confident that my technical background, structured analytical skills, and entrepreneurial curiosity make me a strong fit for this role.

Thank you for your time and consideration. I look forward to discussing how I can contribute to Reonic GmbH.

Sincerely,

Salvador Costilla Caballero"
german,"Lubeck, Schleswig-Holstein",expandAI GmbH,Recruiting-Team,Bewerbung als Praktikant - Werkstudent/in Informatik,"Sehr geehrtes Recruiting-Team der expandAI GmbH,

ich habe Ihre Ausschreibung für das Praktikum/Werkstudententum in Lübeck mit großem Interesse gelesen und bin von der Vision, KI für die nicht-invasive Gesundheitsüberwachung einzusetzen, sehr angetan. Als Student der Technischen Informatik und DAAD-KOSPIE-Stipendiat an der Georg-August-Universität Göttingen suche ich für den Zeitraum ab März 2026 eine Praxisphase, um meine Kenntnisse in Softwareentwicklung und KI praktisch in einem interdisziplinären, lebensnahen Projekt einzubringen.

Mein Studium mit den Schwerpunkten Embedded Systems und DevOps sowie meine praktische Erfahrung als Werkstudent bei Ford im Bereich CI/CD haben mich ideal auf die genannten Anforderungen vorbereitet. Bei Ford implementierte ich automatisierte Pipelines mit Jenkins und GitHub Actions, um Entwicklern Echtzeit-Feedback zu geben – eine Erfahrung, die ich direkt in die Entwicklung und Visualisierung Ihrer Softwareumgebung für das kontinuierliche Glukose-Feedback einbringen kann. Meine Programmiererfahrung umfasst sowohl Python für Backend- und KI-Projekte, wie meine Arbeit mit TensorFlow Lite und YOLOv8 für Computer-Vision-Anwendungen zeigt, als auch moderne Frontend-Technologien. Ich habe mit React und Next.js gearbeitet und verfüge über Grundkenntnisse in TypeScript, in die ich mich schnell vertiefen kann.

Besonders motiviert mich die Aussicht, in einem agilen Team an der Schnittstelle von KI-Algorithmen, nutzerzentrierter Software und medizinischer Anwendung zu arbeiten. Meine Projekte, wie die Entwicklung einer Android-App zur Echtzeiterkennung von Gebärdensprache oder die Steuerung eines NAO-Roboters, verlangten stets ein hohes Maß an Usability und präziser Visualisierung. Ich bin es gewohnt, mich eigenständig in neue Tech-Stacks einzuarbeiten, und bringe neben meinen technischen Fähigkeiten sehr gute Deutsch- und Englischkenntnisse sowie Erfahrung in interkulturellen Teams mit.

Ein Umzug nach Lübeck für die Dauer der Tätigkeit ist für mich problemlos möglich. Ich bin überzeugt, mit meiner Lernbereitschaft und meinem technischen Profil einen wertvollen Beitrag zu Ihrem Team leisten zu können und freue mich auf die Möglichkeit, dies in einem persönlichen Gespräch zu erläutern."
german,"Lubeck, Schleswig-Holstein",expandAI GmbH,Recruiting-Team,Bewerbung als Praktikant - Werkstudent/in Informatik,"Sehr geehrtes Recruiting-Team,

ich habe Ihre Ausschreibung für das Praktikum bzw. die Werkstudententätigkeit in der Informatik in Lübeck gelesen und bin von der Vision, KI für die nicht-invasive Blutzuckeranalyse einzusetzen, sehr angetan. Als Student der Technischen Informatik und DAAD-KOSPIE-Stipendiat an der Georg-August-Universität Göttingen suche ich für den Zeitraum ab März 2026 eine praktische Tätigkeit, um meine Kenntnisse in Softwareentwicklung und KI-basierten Systemen in einem interdisziplinären, medizintechnischen Umfeld einzubringen.

Die beschriebenen Tätigkeiten sprechen mich direkt an. In meiner Position als Werkstudent im DevOps-Bereich bei Ford habe ich bereits umfassende Erfahrung mit der Implementierung und Optimierung von CI/CD-Pipelines gesammelt, unter anderem mit Jenkins und GitHub Actions, um Entwicklern Echtzeit-Feedback zu geben. Diese Erfahrung mit Automatisierung und stabilen Softwareumgebungen würde ich gerne in die Entwicklung Ihrer Visualisierungssoftware einbringen. Zudem bringe ich durch Projekte wie „Alphabet Sign Language“ (Echtzeit-Erkennung mit TensorFlow Lite) und „MLChords“ (Chord-Erkennung mit YOLOv8) praktische Kenntnisse in Python, Computer Vision und Machine Learning mit, die für die Weiterentwicklung des KI-Algorithmus wertvoll sein können.

Mein Studium mit Fokus auf Embedded Systems und meine Projekterfahrung mit Microcontrollern und FPGAs haben mir ein tiefes Verständnis für die Schnittstelle zwischen Software und Sensorik vermittelt. Für die Frontend-Entwicklung kann ich Erfahrung mit React und Next.js vorweisen. Ich arbeite mich schnell in neue Technologien ein – was ich etwa beim Erlernen von VHDL für meinen 8-Bit FPGA-Computer oder bei der Einarbeitung in neue APIs unter Beweis stellen konnte – und schätze die agile Zusammenarbeit in Teams, wie ich sie während meines Austauschsemsesters in Hof erlebt habe.

Ich spreche fließend Deutsch (C1) und Englisch (B2) und bin bereit, für die Dauer der Tätigkeit nach Lübeck zu ziehen. Die Möglichkeit, in einem interdisziplinären SCRUM-Team an einer nutzerzentrierten Anwendung mit gesellschaftlichem Impact zu arbeiten, motiviert mich außerordentlich."
german,"Lubeck, Schleswig-Holstein",expandAI GmbH,Recruiting-Team,Bewerbung als Praktikant - Werkstudent/in Informatik,"Sehr geehrtes Recruiting-Team,

mit großem Interesse habe ich Ihre Ausschreibung für das Praktikum bzw. die Werkstudententätigkeit im Bereich Informatik bei der expandAI GmbH gelesen. Als Student der Technischen Informatik und DAAD-KOSPIE-Stipendiat an der Georg-August-Universität Göttingen suche ich für den Zeitraum von März bis August 2026 ein sechsmonatiges Pflichtpraktikum. Die beschriebene Aufgabe, einen KI-Algorithmus zur nicht-invasiven Blutzuckeranalyse weiterzuentwickeln und eine Echtzeit-Visualisierungssoftware zu gestalten, spricht mich außerordentlich an.

Meine praktischen Erfahrungen passen sehr gut zu Ihren Anforderungen. In meiner Position als Werkstudent im DevOps-Bereich bei der Ford Motor Company habe ich intensiv mit CI/CD-Pipelines, Automatisierung und der Entwicklung von Feedback-Tools gearbeitet, unter anderem mit Jenkins, Python und GitHub Actions. Dies hat mein Verständnis für robuste Softwareprozesse und nutzerzentriertes Entwickeln geschärft. Zudem konnte ich in akademischen Projekten wie „Alphabet Sign Language“ und „MLChords“ bereits konkrete Erfahrungen mit Machine Learning, Computer Vision (Python, OpenCV, TensorFlow Lite) und der Entwicklung von Benutzeroberflächen sammeln.

Die geforderten Technologien wie Python, TypeScript und moderne Frontend-Frameworks sind mir vertraut oder ich arbeite mich, wie bei React und Next.js bereits geschehen, schnell und eigenständig ein. Meine Arbeit in internationalen Teams bei Ford und während meiner Austauschsemester in Deutschland hat mich zudem mit agilen Methoden wie SCRUM vertraut gemacht. Ich spreche Deutsch auf C1-Niveau und Englisch fließend (B2), was die Zusammenarbeit in interdisziplinären Teams erleichtert.

Die Verbindung von KI, nutzerzentrierter Softwareentwicklung und einem medizinischen Anwendungsfeld bei expandAI finde ich höchst motivierend. Ich bin überzeugt, dass ich mit meiner technischen Affinität, meiner Lernbereitschaft und meiner Erfahrung in Softwareentwicklung und DevOps einen wertvollen Beitrag zu Ihrem Team leisten kann. Ein Umzug nach Lübeck für die Dauer des Praktikums ist für mich selbstverständlich.

Ich freue mich sehr auf die Möglichkeit, Sie in einem persönlichen Gespräch von meiner Motivation und meinen Fähigkeiten zu überzeugen."
german,"Lubeck, Schleswig-Holstein",expandAI GmbH,Recruiting-Team,Bewerbung als Praktikant - Werkstudent/in Informatik,"Sehr geehrtes Recruiting-Team,

mit großem Interesse habe ich Ihre Ausschreibung für das Praktikum bzw. die Werkstudententätigkeit im Bereich Informatik bei der expandAI GmbH in Lübeck gelesen. Als Student der Technischen Informatik und DAAD-KOSPIE-Stipendiat an der Georg-August-Universität Göttingen suche ich für den Zeitraum von März bis August 2026 ein sechsmonatiges Pflichtpraktikum. Die beschriebene Rolle, einen KI-Algorithmus zur nicht-invasiven Blutzuckeranalyse weiterzuentwickeln und eine Echtzeit-Visualisierungssoftware zu gestalten, spricht mich außerordentlich an.

Mein Studium mit Fokus auf Embedded Systems und meine praktischen Erfahrungen passen ideal zu Ihren Anforderungen. In meiner Zeit als Werkstudent im DevOps-Bereich bei der Ford Motor Company habe ich umfassende Erfahrung mit CI/CD-Pipelines, der Automatisierung von Prozessen und der Arbeit mit APIs gesammelt, was mir ein tiefes Verständnis für stabile Softwareumgebungen und effiziente Entwicklungsprozesse vermittelt hat. Projekte wie die Entwicklung einer Android-App zur Echtzeiterkennung von Gebärdensprache mit TensorFlow Lite und Computer Vision oder ein ML-Projekt zur Akkorderkennung mit YOLOv8 haben mir praktische Kenntnisse im Umgang mit Python, Datenanalyse und nutzerzentrierten Anwendungen gegeben.

Zudem bringe ich durch Projekte in React und Next.js sowie durch den Einsatz von Tools wie Jenkins und Docker die geforderten Kenntnisse in modernen Frontend- und DevOps-Technologien mit. Die Arbeit in interkulturellen Teams bei Ford und während meiner Austauschsemester in Deutschland hat mich zudem in agilen Methoden wie SCRUM geschult und meine Fähigkeit zur schnellen Einarbeitung in neue Tech-Stacks unter Beweis gestellt.

Ich beherrsche Deutsch auf B2/C1-Niveau und Englisch auf B2-Niveau und bin bereit, für die Dauer des Praktikums meinen Lebensmittelpunkt nach Lübeck zu verlegen. Die Möglichkeit, in einem interdisziplinären Team an einer Software mit direktem gesellschaftlichem Nutzen zu arbeiten, motiviert mich sehr."
german,"Lubeck, Schleswig-Holstein",expandAI GmbH,Recruiting-Team,Bewerbung als Praktikant - Werkstudent/in Informatik,"Sehr geehrtes Recruiting-Team,

mit großem Interesse habe ich Ihre Ausschreibung für das Praktikum bzw. die Werkstudententätigkeit im Bereich Informatik bei der expandAI GmbH in Lübeck gelesen. Als Student der Technischen Informatik und DAAD-KOSPIE-Stipendiat an der Georg-August-Universität Göttingen suche ich für den Zeitraum von März bis August 2026 ein sechsmonatiges Pflichtpraktikum. Die beschriebene Rolle, einen KI-Algorithmus zur nicht-invasiven Blutzuckeranalyse weiterzuentwickeln und eine Echtzeit-Visualisierungssoftware zu gestalten, spricht mich außerordentlich an.

Mein Studium mit Fokus auf Embedded Systems und meine praktischen Erfahrungen passen ideal zu Ihren Anforderungen. In meiner Zeit als Werkstudent im DevOps-Bereich bei der Ford Motor Company habe ich umfassende Erfahrung mit CI/CD-Pipelines, der Automatisierung von Prozessen und der Arbeit mit APIs gesammelt, was mir ein tiefes Verständnis für stabile Softwareumgebungen und effiziente Entwicklungsprozesse vermittelt hat. Projekte wie die Entwicklung einer Android-App zur Echtzeiterkennung von Gebärdensprache mit TensorFlow Lite und Computer Vision oder ein ML-Projekt zur Akkorderkennung mit YOLOv8 haben mir praktische Kenntnisse im Umgang mit Python, Datenanalyse und nutzerzentrierten Anwendungen gegeben.

Zudem bringe ich durch Projekte in React und Next.js sowie durch den Einsatz von Tools wie Jenkins und Docker die geforderten Kenntnisse in modernen Frontend- und DevOps-Technologien mit. Die Arbeit in interkulturellen Teams bei Ford und während meiner Austauschsemester in Deutschland hat mich zudem in agilen Methoden wie SCRUM geschult und meine Fähigkeit zur schnellen Einarbeitung in neue Tech-Stacks unter Beweis gestellt.

Ich beherrsche Deutsch auf B2/C1-Niveau und Englisch auf B2-Niveau und bin bereit, für die Dauer des Praktikums meinen Lebensmittelpunkt nach Lübeck zu verlegen. Die Möglichkeit, in einem interdisziplinären Team an einer Software mit direktem gesellschaftlichem Nutzen zu arbeiten, motiviert mich sehr."
english,"Berlin, Germany",Atotech Germany GmbH & Co. KG,Recruiting-Team,Application for Internship - Mandatory Internship in IT Industrial Digitalization,"Dear Recruiting Team,

I am writing to apply for the Mandatory Internship in IT Industrial Digitalization. As a Computer Systems Engineering student and DAAD-KOSPIE scholar currently on academic exchange at the Georg-August-Universität Göttingen, I am required to complete a six-month professional internship. I am highly motivated to contribute my background in cloud computing, data processing, and IoT to your team at Atotech, starting in March or April 2026.

My academic and project experience aligns directly with the role's activities. I have a solid foundation in Python programming and cloud technologies, having utilized Google Cloud and Firebase in past projects. My work on the Alphabet Sign Language Android App involved processing real-time camera data with TensorFlow Lite and OpenCV, giving me practical insight into data pipelines and model integration. Furthermore, my role as a DevOps Working Student at Ford Motor Company required me to design and implement automated CI/CD workflows using Jenkins and GitHub Actions, which honed my skills in building reliable, scalable systems and collaborating within cross-functional teams.

I am particularly drawn to the opportunity to work with AWS IoT, SageMaker, and QuickSight. While I have not used these specific AWS services professionally, I am a proactive and quick learner with a proven ability to rapidly adopt new technologies, as demonstrated by my successful integration into different technical stacks during my academic exchanges in Germany. My project NAOimitationv2, which used computer vision to control a robot in real-time, reflects my interest and capability in connecting data streams to actionable outputs, a core aspect of the IoT data logging pipelines described.

I am business fluent in both English and German (B2/C1), enabling effective communication in international settings. I am fully willing to relocate to Berlin for the internship duration. I am confident that my combination of technical skills, experience in agile development, and strong motivation to learn makes me a suitable candidate to support your initiatives in industrial digitalization.

Thank you for considering my application. I have attached my required documents, including my enrollment certificate and internship confirmation."
german,"Köln, ",AKDB,Recruiting-Team,Bewerbung als Praktikant – Workflow Automation & Agentic AI,"Sehr geehrtes Recruiting-Team,

mit großem Interesse habe ich Ihre Ausschreibung für das Praktikum im Bereich Workflow Automation & Agentic AI in Köln gelesen. Als Student der Technischen Informatik und DAAD-KOSPIE-Stipendiat an der Georg-August-Universität Göttingen suche ich für den Zeitraum von März bis August 2026 ein sechsmonatiges Pflichtpraktikum. Die Kombination aus Automatisierung und KI-gestützten Agenten spricht mich dabei besonders an, da sie perfekt zu meiner bisherigen Erfahrung in der Prozessautomatisierung und meinem Interesse an innovativen Technologien passt.

Während meiner Tätigkeit als Werkstudent im DevOps-Bereich bei der Ford Motor Company habe ich intensiv an der Automatisierung und Optimierung von CI/CD-Pipelines gearbeitet. Ich entwickelte Jenkins-Pipelines für die Syntaxvalidierung und implementierte automatisierte Workflows mit GitHub Actions, um Entwicklern direktes Feedback zu geben. Diese praktische Erfahrung im Aufbau und Betrieb von Automatisierungslösungen sowie die Anbindung über APIs – wie die Jira-API für Monitoring – bilden eine solide Grundlage für die Arbeit mit n8n und REST-Schnittstellen.

Mein Studium und meine Projekte haben mir zudem umfangreiche Programmierkenntnisse in Python und JavaScript vermittelt, die ich in verschiedenen Kontexten angewendet habe, von Webentwicklung mit React bis hin zu Machine-Learning-Projekten. Beispielsweise entwickelte ich eine Android-App zur Echtzeiterkennung von Gebärdensprache mit TensorFlow Lite und MediaPipe. Diese Projekte sowie meine Arbeit bei Ford haben meine strukturierte, selbstständige und sorgfältige Arbeitsweise geschärft. Ich arbeite mich gerne eigenständig in neue Tech-Stacks ein, was mir den Einstieg in n8n und die Entwicklung von KI-gestützten Workflows erleichtern wird.

Ich bringe eine hohe Lernbereitschaft und ein ausgeprägtes Interesse an KI und agentischen Systemen mit. Die enge Zusammenarbeit in interdisziplinären Teams ist mir aus meiner akademischen und beruflichen Laufbahn vertraut. Ich kommuniziere sicher auf Deutsch (B2/C1) und Englisch (B2) und bin bereit, für die Dauer des Praktikums meinen Lebensmittelpunkt nach Köln zu verlegen.

Ich freue mich auf die Möglichkeit, mein Wissen in Workflow-Automatisierung und meine Begeisterung für KI in Ihr Team einzubringen und gemeinsam an der Weiterentwicklung Ihrer Lösungen zu arbeiten."
german,", Köln",AKDB,Recruiting-Team,Bewerbung als Praktikant – Workflow Automation & Agentic AI,"Sehr geehrtes Recruiting-Team,

mit großem Interesse habe ich Ihre Ausschreibung für das Praktikum im Bereich Workflow Automation & Agentic AI in Köln gelesen. Als Student der Technischen Informatik und DAAD-KOSPIE-Stipendiat an der Georg-August-Universität Göttingen suche ich für den Zeitraum von März bis August 2026 ein sechsmonatiges Pflichtpraktikum. Die Kombination aus Automatisierung und KI-gestützten Agenten spricht mich dabei besonders an, da sie perfekt zu meiner bisherigen Erfahrung in der Prozessautomatisierung und meinem Interesse an innovativen Technologien passt.

Während meiner Tätigkeit als Werkstudent im DevOps-Bereich bei der Ford Motor Company habe ich intensiv an der Automatisierung und Optimierung von CI/CD-Pipelines gearbeitet. Ich entwickelte Jenkins-Pipelines für die Syntaxvalidierung und implementierte automatisierte Workflows mit GitHub Actions, um Entwicklern direktes Feedback zu geben. Diese praktische Erfahrung im Aufbau und Betrieb von Automatisierungslösungen sowie die Anbindung über APIs – wie die Jira-API für Monitoring – bilden eine solide Grundlage für die Arbeit mit n8n und REST-Schnittstellen.

Mein Studium und meine Projekte haben mir zudem umfangreiche Programmierkenntnisse in Python und JavaScript vermittelt, die ich in verschiedenen Kontexten angewendet habe, von Webentwicklung mit React bis hin zu Machine-Learning-Projekten. Beispielsweise entwickelte ich eine Android-App zur Echtzeiterkennung von Gebärdensprache mit TensorFlow Lite und MediaPipe. Diese Projekte sowie meine Arbeit bei Ford haben meine strukturierte, selbstständige und sorgfältige Arbeitsweise geschärft. Ich arbeite mich gerne eigenständig in neue Tech-Stacks ein, was mir den Einstieg in n8n und die Entwicklung von KI-gestützten Workflows erleichtern wird.

Ich bringe eine hohe Lernbereitschaft und ein ausgeprägtes Interesse an KI und agentischen Systemen mit. Die enge Zusammenarbeit in interdisziplinären Teams ist mir aus meiner akademischen und beruflichen Laufbahn vertraut. Ich kommuniziere sicher auf Deutsch (B2/C1) und Englisch (B2) und bin bereit, für die Dauer des Praktikums meinen Lebensmittelpunkt nach Köln zu verlegen.

Ich freue mich auf die Möglichkeit, mein Wissen in Workflow-Automatisierung und meine Begeisterung für KI in Ihr Team einzubringen und gemeinsam an der Weiterentwicklung Ihrer Lösungen zu arbeiten."
german,", Köln",AKDB,Recruiting-Team,Bewerbung als Praktikant – Workflow Automation & Agentic AI,"Sehr geehrtes Recruiting-Team,

mit großem Interesse habe ich Ihre Ausschreibung für das Praktikum im Bereich Workflow Automation & Agentic AI in Köln gelesen. Als Student der Technischen Informatik und DAAD-KOSPIE-Stipendiat an der Georg-August-Universität Göttingen suche ich für den Zeitraum von März bis August 2026 ein sechsmonatiges Pflichtpraktikum. Die Kombination aus Automatisierung und KI-gestützten Agenten spricht mich dabei besonders an, da sie perfekt zu meiner bisherigen Erfahrung in der Prozessautomatisierung und meinem Interesse an innovativen Technologien passt.

Während meiner Tätigkeit als Werkstudent im DevOps-Bereich bei der Ford Motor Company habe ich intensiv an der Automatisierung und Optimierung von CI/CD-Pipelines gearbeitet. Ich entwickelte Jenkins-Pipelines für die Syntaxvalidierung und implementierte automatisierte Workflows mit GitHub Actions, um Entwicklern direktes Feedback zu geben. Diese praktische Erfahrung im Aufbau und Betrieb von Automatisierungslösungen sowie die Anbindung über APIs – wie die Jira-API für Monitoring – bilden eine solide Grundlage für die Arbeit mit n8n und REST-Schnittstellen.

Mein Studium und meine Projekte haben mir zudem umfangreiche Programmierkenntnisse in Python und JavaScript vermittelt, die ich in verschiedenen Kontexten angewendet habe, von Webentwicklung mit React bis hin zu Machine-Learning-Projekten. Beispielsweise entwickelte ich eine Android-App zur Echtzeiterkennung von Gebärdensprache mit TensorFlow Lite und MediaPipe. Diese Projekte sowie meine Arbeit bei Ford haben meine strukturierte, selbstständige und sorgfältige Arbeitsweise geschärft. Ich arbeite mich gerne eigenständig in neue Tech-Stacks ein, was mir den Einstieg in n8n und die Entwicklung von KI-gestützten Workflows erleichtern wird.

Ich bringe eine hohe Lernbereitschaft und ein ausgeprägtes Interesse an KI und agentischen Systemen mit. Die enge Zusammenarbeit in interdisziplinären Teams ist mir aus meiner akademischen und beruflichen Laufbahn vertraut. Ich kommuniziere sicher auf Deutsch (B2/C1) und Englisch (B2) und bin bereit, für die Dauer des Praktikums meinen Lebensmittelpunkt nach Köln zu verlegen.

Ich freue mich auf die Möglichkeit, mein Wissen in Workflow-Automatisierung und meine Begeisterung für KI in Ihr Team einzubringen und gemeinsam an der Weiterentwicklung Ihrer Lösungen zu arbeiten."
german,", Köln",AKDB,Recruiting-Team,Bewerbung als Praktikant – Workflow Automation & Agentic AI,"Sehr geehrtes Recruiting-Team,

mit großem Interesse habe ich Ihre Ausschreibung für das Praktikum im Bereich Workflow Automation & Agentic AI in Köln gelesen. Als Student der Technischen Informatik und DAAD-KOSPIE-Stipendiat an der Georg-August-Universität Göttingen suche ich für den Zeitraum von März bis August 2026 ein sechsmonatiges Pflichtpraktikum. Die Kombination aus Automatisierung und KI-gestützten Agenten spricht mich dabei besonders an, da sie perfekt zu meiner bisherigen Erfahrung in der Prozessautomatisierung und meinem Interesse an innovativen Technologien passt.

Während meiner Tätigkeit als Werkstudent im DevOps-Bereich bei der Ford Motor Company habe ich intensiv an der Automatisierung und Optimierung von CI/CD-Pipelines gearbeitet. Ich entwickelte Jenkins-Pipelines für die Syntaxvalidierung und implementierte automatisierte Workflows mit GitHub Actions, um Entwicklern direktes Feedback zu geben. Diese praktische Erfahrung im Aufbau und Betrieb von Automatisierungslösungen sowie die Anbindung über APIs – wie die Jira-API für Monitoring – bilden eine solide Grundlage für die Arbeit mit n8n und REST-Schnittstellen.

Mein Studium und meine Projekte haben mir zudem umfangreiche Programmierkenntnisse in Python und JavaScript vermittelt, die ich in verschiedenen Kontexten angewendet habe, von Webentwicklung mit React bis hin zu Machine-Learning-Projekten. Beispielsweise entwickelte ich eine Android-App zur Echtzeiterkennung von Gebärdensprache mit TensorFlow Lite und MediaPipe. Diese Projekte sowie meine Arbeit bei Ford haben meine strukturierte, selbstständige und sorgfältige Arbeitsweise geschärft. Ich arbeite mich gerne eigenständig in neue Tech-Stacks ein, was mir den Einstieg in n8n und die Entwicklung von KI-gestützten Workflows erleichtern wird.

Ich bringe eine hohe Lernbereitschaft und ein ausgeprägtes Interesse an KI und agentischen Systemen mit. Die enge Zusammenarbeit in interdisziplinären Teams ist mir aus meiner akademischen und beruflichen Laufbahn vertraut. Ich kommuniziere sicher auf Deutsch (B2/C1) und Englisch (B2) und bin bereit, für die Dauer des Praktikums meinen Lebensmittelpunkt nach Köln zu verlegen.

Ich freue mich auf die Möglichkeit, mein Wissen in Workflow-Automatisierung und meine Begeisterung für KI in Ihr Team einzubringen und gemeinsam an der Weiterentwicklung Ihrer Lösungen zu arbeiten."
